source,target,count
Krostenz,elpidiojsilva,1
Joel Plazas&Subir�s,324cat,1
Laura,celiars1997,1
Esperanza Pascual,eldiarioes,1
Tsuki,maxpradera,1
IU-Verdes Jumilla,PlanetaEskoria_,1
Dr. Lob,_chonisoviets,1
#RosaFerriz,A_J_kuak,1
Antoni Ferrer,eduardcabus,1
Alberto,juspursuit,1
Josemy,hiro_esports,1
Juan P. de Tena  #?,Amor_y_Rabia,1
? ????? ?,cxlturx,1
Alex Stello,DaniMateoAgain,1
I�igo VI de Castilla,sergio_th_,1
Susanna Pla,ForcadellCarme,1
Esteban Fuertes,lizcastro,1
Desopinador,20m,1
blue blue,DropNothe,1
gdamas,JaumeMayor,1
Jordi Correas,CristinaSegui_,1
Adriana,IgnatiusFarray1,1
AMO A LOS ANIMALITOS,Jan_Herzog,1
Gushrum,JulianAssange,1
Iker Rincon,niporwifi,1
@zik Kadhar,thatsTamil,1
Victor Bermejo,beINSPORTSes,1
Luisha,fMonteleon,1
LARU,Contagioradio1,1
David,CorbynSnap,1
Hans-Cees?,HPdeTijdNL,1
Thor Konox,zoidoJI,1
ana canal,marianorajoy,1
Elen?,oo_ViRGi_oo,1
Maria Luisa Sanchez,DaniMateoAgain,1
Dr. No,A3Noticias,1
�lex Uriach,elpaiscatalunya,1
Jordi,Societatcc,1
Marcelino,norcoreano,1
Marina ?,clarincom,1
Mario Mosquera Soto,UABBarcelona,1
Cristina.,Laudaable,1
La Fer,Carlos_Manzana,1
Lambrate23,lambrate23,1
Anna123,Esquerra_ERC,1
Javi,Independent,1
Pensando en voz alta,marc_esteve,1
Paco Navarrete,elmundotoday,1
La Plaga,PSOE,1
Colin-Roy Hunter,Otto_English,1
Victor,GemmaMR,1
croco posverdad,Irene_Montero_,1
Xavi Lafuente,mallorcadiario,1
Margot Brain Rain,EPBaleares,1
Prof. Zoom,misskatsuragi,1
�gueda Volta ???,Lamparillla,1
Ann_A,lamarea_com,1
Raphael,andresiniesta8,1
encarna sanchez garc,jjmabur,1
THE SPECIALIST?,andresiniesta8,1
Llu�s Esterri,KRLS,1
David Barrie Grieve,CatalansForYes,1
Anna Serrat,elperiodico,1
Yamile,dcabellor,1
por mi pa�s,TroyanoPay,1
?MaRiHt? ???,rosamariaartal,1
Antoni Ferrer,uniopagesos,1
NATTHANAN,CNN,1
Cris :),AnitaBotwin,1
Camilo,PilarGGranja,1
?weet Life! ?,iunida,1
Marc Ciurana Sanchez,JorgeGalindo,1
Ella_dice:,EvaPiquer,1
joan marcet,DesInfoCAT,1
???? ?????,MrCoyote7,1
dese???�scara?g?bS,JorgeGalindo,1
Claudia,J_Bergante,1
DefcoN,lascafe,1
Juan Antonio,akyyo,1
Gustavo Cabello,agarzon,1
RaquelDUI,ActualidadRT,1
Rafael Acosta ortiz,AliciaCastroAR,1
Jillybean,AnonTVofficial,1
Daniel Luj�n,ForcadellCarme,1
Adri�n Garc�a,agarzon,1
