user_name,count_tweet,pol,count_retweet,count_mentions,pol_tot
Kaguentxos,1,0.0,0,2,0.0
Juan Luis Vicente,3,0.5263333320617676,0,2,0.5263333320617676
RobotMonster,1,0.5,0,1,0.5
Pepe Sicilia,3,-0.14566667874654135,0,3,-0.14566667874654135
DartBender,1,-0.6069999933242798,0,1,-0.6069999933242798
Saly Evans,4,-0.5782499983906746,0,7,-0.849250003695488
Rafa S�nchez Prieto,3,-0.08333333333333333,0,4,0.0
Ciudadanos Madrid C.,2,-0.32899999618530273,1,2,-0.32899999618530273
Mar Bosch,1,-0.25,0,1,-0.25
PabloCalder�nSalazar,1,0.32100000977516174,0,1,0.32100000977516174
Ginasamsa,1,0.32499998807907104,0,1,0.32499998807907104
LGS,4,-0.15800000727176666,0,5,-0.22950001060962677
sin gluten,3,-0.3436666627724965,0,3,-0.3436666627724965
Boli Bazterrica,1,0.625,0,1,0.625
C�saravgvstanvs in B,1,0.08000001311302185,0,1,0.08000001311302185
Ramon�,5,-0.16040000915527344,0,6,-0.21040000915527343
Daniel Maestre,1,-1.0420000553131104,0,1,-1.0420000553131104
Latinlove,1,-0.48100000619888306,0,1,-0.48100000619888306
Soy Papa,1,0.3540000021457672,0,0,0.3540000021457672
[Osc�r],2,0.17100000381469727,0,2,0.17100000381469727
Marc Galimany,4,0.021000012755393982,0,4,0.021000012755393982
Claude Leforte,3,-0.4790000021457672,0,2,-0.4790000021457672
Angy Galv�n,1,0.0,0,2,0.0
Marisa Vidilla,1,-0.25,0,1,-0.25
lucia taveras,4,-0.2787500023841858,0,4,-0.2787500023841858
Carles Pastor,3,-0.05733335018157959,0,3,-0.05733335018157959
anin23,4,0.21699999272823334,0,4,0.21699999272823334
firrisflaiflas,4,-0.1860000044107437,0,4,-0.1860000044107437
sara vidal,2,0.25,0,2,0.25
El Biliberto del sur,1,-0.125,0,1,-0.125
�miros,3,-0.22799999515215555,0,4,-0.22799999515215555
J.P.J.,1,0.5,0,1,0.5
Dani L�pez Bacon,1,-0.48100000619888306,0,1,-0.48100000619888306
MagalisConstituyente,5,-0.03320000171661377,0,5,-0.03320000171661377
Francisco Velez P.,1,-0.25,0,2,-0.5
Raul Remon,1,0.43799999356269836,0,1,0.43799999356269836
Frank Dubois,3,0.3889999985694885,0,3,0.3889999985694885
Nancy  Acevedo.,1,0.0,0,2,0.0
RAGE,5,-0.22999999523162842,0,5,-0.22999999523162842
???y ???????? ????,1,0.25,0,1,0.25
?Francesco Costanzo?,1,0.25,0,2,0.5
romulo sifontes,1,0.0,0,1,0.0
sergio garcia,5,0.1709999918937683,0,8,0.1709999918937683
Ysley Ram�rez,1,0.0,0,1,0.0
Alex Enriquez,6,-0.10583333671092987,0,7,-0.14233333865801492
Patricia S�o,1,-0.25,0,1,-0.25
Daniel M. Bonilla,1,-1.1340000629425049,0,1,-1.1340000629425049
Adri Fern�ndez,1,0.375,0,1,0.375
Mon88,1,-0.25,0,1,-0.25
vicky castro,1,0.75,0,1,0.75
Ruby Cardoza,2,-0.1665000021457672,0,2,-0.1665000021457672
lautaa,1,0.25,0,1,0.25
#LAVAJATO#DESPACITO,2,0.25,0,2,0.25
Joaquin Villacetin,1,-0.31200000643730164,0,1,-0.31200000643730164
Juan Antonio Bruno,1,0.0,0,1,0.0
Cathy Wilson,1,-0.31200000643730164,0,1,-0.31200000643730164
Todd Hockney,1,0.0,0,1,0.0
Rub�n Garc�a,1,1.125,0,1,1.125
Angel Dom�nguez ?,3,-0.24500000476837158,0,3,-0.24500000476837158
Carlos E,5,-0.011399996280670167,0,6,0.12300000190734864
Franklin Ramos,1,0.625,0,1,0.625
Lugar Ignoto,5,0.3337999939918518,0,5,0.3337999939918518
?Angy?,1,-0.47999998927116394,0,1,-0.47999998927116394
OTELLO MARTINEZ,4,0.046999990940093994,0,6,0.578499972820282
Pau Claris,7,0.21671428850718907,0,7,0.21671428850718907
Doc HOLLYDAY,1,0.25,0,1,0.25
� Srta Badass � �?�,1,-0.5249999761581421,0,1,-0.5249999761581421
Diario Presente,1,-0.6669999957084656,0,0,-0.6669999957084656
PDECat Centelles,2,-0.0625,0,2,-0.0625
ABEHA,1,-0.4059999883174896,0,1,-0.4059999883174896
valentina gli,1,0.0,0,1,0.0
activismo,1,-0.31299999356269836,0,1,-0.31299999356269836
La Opini�n �,1,0.687999963760376,0,0,0.687999963760376
Reynaldo Navarro,2,-0.07799999415874481,0,2,-0.07799999415874481
Ary Rold�n,2,-0.07799999415874481,0,2,-0.07799999415874481
Alvaro Suarez,1,-1.0420000553131104,0,1,-1.0420000553131104
Del NostrePunkiWinki,1,-0.375,0,1,-0.375
Jose Enrique Roque,1,0.25,0,1,0.25
aki la kobra gay,4,0.375,0,4,0.375
Mawei ?,1,-0.48100000619888306,0,1,-0.48100000619888306
FLIP #1�Votar�,1,0.02799999713897705,0,2,0.0559999942779541
Nenobest,1,-0.25,0,1,-0.25
Javier Gerardo Ramos,3,0.15266666809717813,0,3,0.15266666809717813
Ricardo L�pez Port�,5,0.036000007390975954,0,6,-0.07659998536109924
joaqu�n G� Navarro,1,-0.25,0,1,-0.25
Aitorks,1,0.07099997997283936,0,1,0.07099997997283936
Jordi #�c ??||*||,1,-0.20800000429153442,0,1,-0.20800000429153442
Maria Viu,1,0.375,0,2,0.75
Albert Aguilar Ribas,1,0.3330000042915344,0,2,0.6660000085830688
Salvador San Vicente,1,0.375,0,1,0.375
Judit Porta Sanuy,1,0.021000027656555176,0,1,0.021000027656555176
Navin Costa,3,-0.08899998664855957,0,3,-0.08899998664855957
franchy,3,-0.34033332268397015,0,3,-0.34033332268397015
En Xogo TVG2,1,0.4750000238418579,0,0,0.4750000238418579
Adriana Suarez,1,-0.5,0,0,-0.5
